SUB_ID,cohort,model_name,output_type,F1
MRS_34,MRi-Share,base,Voxel,0.404040404040404
MRS_26,MRi-Share,base,Voxel,0.5046382189239332
MRS_14,MRi-Share,base,Voxel,0.4403669724770642
MRS_11,MRi-Share,base,Voxel,0.5729676787463271
MRS_49,MRi-Share,base,Voxel,0
MWC_59,MWC,base,Voxel,0.8448799495730903
MWC_55,MWC,base,Voxel,0.5261423550087874
MWC_37,MWC,base,Voxel,0.8219541931550989
MWC_2,MWC,base,Voxel,0.8386830710014433
MWC_110,MWC,base,Voxel,0.6569564557730239
MWC_108,MWC,base,Voxel,0.6765432098765433
MWC_103,MWC,base,Voxel,0.814329282170331
MWC_66,MWC,base,Voxel,0.7740456742790465
MRS_42,MRi-Share,base,Cluster,0.5714285714285714
MRS_36,MRi-Share,base,Cluster,0.5384615384615384
MRS_34,MRi-Share,base,Cluster,0.1818181818181818
MRS_26,MRi-Share,base,Cluster,0.6666666666666666
MRS_14,MRi-Share,base,Cluster,0.4
MRS_11,MRi-Share,base,Cluster,0.5116279069767442
MRS_49,MRi-Share,base,Cluster,0
MWC_59,MWC,base,Cluster,0.631578947368421
MWC_55,MWC,base,Cluster,0.5714285714285714
MWC_37,MWC,base,Cluster,0.4870466321243523
MWC_2,MWC,base,Cluster,0.6347826086956522
MWC_110,MWC,base,Cluster,0.7209302325581395
MWC_108,MWC,base,Cluster,0.7428571428571429
MWC_103,MWC,base,Cluster,0.6811594202898551
MWC_66,MWC,base,Cluster,0.7448275862068966
MRS_5,MRi-Share,enh90,Voxel,0.3461538461538461
MRS_6,MRi-Share,enh90,Voxel,0.4230769230769231
MRS_11,MRi-Share,enh90,Voxel,0.6020761245674741
MRS_14,MRi-Share,enh90,Voxel,0.5352112676056338
MRS_48,MRi-Share,enh90,Voxel,1
MRS_15,MRi-Share,enh90,Voxel,0.5835095137420718
MRS_19,MRi-Share,enh90,Voxel,0
MRS_33,MRi-Share,enh90,Voxel,0.2996941896024465
MRS_40,MRi-Share,enh90,Voxel,0.6267281105990783
MRS_42,MRi-Share,enh90,Voxel,0.6216216216216216
MRS_47,MRi-Share,enh90,Voxel,0.5477707006369427
MWC_137,MWC,enh90,Voxel,0.7195561064872203
MWC_106,MWC,enh90,Voxel,0.7308353386043314
MWC_23,MWC,enh90,Voxel,0.394395982024848
MWC_25,MWC,enh90,Voxel,0.7891739398748127
MWC_11,MWC,enh90,Voxel,0.6094588005850804
MWC_67,MWC,enh90,Voxel,0.725521183591123
MWC_68,MWC,enh90,Voxel,0.7748099163479559
MWC_59,MWC,enh90,Voxel,0.8484366864878196
MWC_61,MWC,enh90,Voxel,0.8147376462825989
MWC_52,MWC,enh90,Voxel,0.7845508631620014
MRS_5,MRi-Share,enh90,Cluster,0.4444444444444444
MRS_6,MRi-Share,enh90,Cluster,0.5
MRS_11,MRi-Share,enh90,Cluster,0.5060240963855421
MRS_14,MRi-Share,enh90,Cluster,0.6666666666666666
MRS_48,MRi-Share,enh90,Cluster,1
MRS_15,MRi-Share,enh90,Cluster,0.5454545454545454
MRS_19,MRi-Share,enh90,Cluster,0
MRS_33,MRi-Share,enh90,Cluster,0.6666666666666666
MRS_40,MRi-Share,enh90,Cluster,0.8888888888888888
MRS_42,MRi-Share,enh90,Cluster,1
MRS_47,MRi-Share,enh90,Cluster,0.6
MWC_137,MWC,enh90,Cluster,0.8704318936877077
MWC_106,MWC,enh90,Cluster,0.7058823529411765
MWC_23,MWC,enh90,Cluster,0.463768115942029
MWC_25,MWC,enh90,Cluster,0.5714285714285714
