SUB_ID,cohort,methods,output_type,precision,sensitivity,F1,HD95,total_pred_vol,total_raw_truth_vol
MWC_51,MWC,LST-LPA,Voxel,0.6842329303592712,0.9064967290773742,0.7798369881622356,1.4142135623730951,35238,26598
MWC_54,MWC,LST-LPA,Voxel,1,0.049618320610687,0.0945454545454545,6.576915171081847,39,786
MWC_57,MWC,LST-LPA,Voxel,0.3889142335766423,0.9857390634033532,0.5577667520854915,10.04987562112089,39456,15567
MWC_62,MWC,LST-LPA,Voxel,0.9814473870556578,0.6779495206417531,0.8019441069258809,2.23606797749979,42366,61332
MWC_100,MWC,LST-LPA,Voxel,0.9072978303747534,0.257847533632287,0.4015713662156264,3.3166247903554,1782.49032,6272.115741729736
MWC_109,MWC,LST-LPA,Voxel,0.4883720930232558,0.2682481751824817,0.3462897526501767,3.1622776601683795,1058.24376,1926.6364498138428
MWC_132,MWC,LST-LPA,Voxel,0.687367405978785,0.8635812939181003,0.7654639175257731,2,54687.6468,43528.62387800217
MWC_21,MWC,LST-LPA,Cluster,0.7948717948717948,0.5391304347826087,0.6424870466321243,NA,NA,NA
MWC_31,MWC,LST-LPA,Cluster,0.6774193548387096,0.2019230769230769,0.3111111111111111,NA,NA,NA
MWC_33,MWC,LST-LPA,Cluster,0.6666666666666666,0.3333333333333333,0.4444444444444444,NA,NA,NA
MWC_51,MWC,LST-LPA,Cluster,0.5569620253164557,0.5714285714285714,0.5641025641025641,NA,NA,NA
MWC_54,MWC,LST-LPA,Cluster,1,0.1111111111111111,0.2,NA,NA,NA
MWC_57,MWC,LST-LPA,Cluster,0.3763440860215054,0.875,0.5263157894736842,NA,NA,NA
MWC_62,MWC,LST-LPA,Cluster,0.4166666666666667,0.0609756097560975,0.1063829787234042,NA,NA,NA
MWC_100,MWC,LST-LPA,Cluster,0.8888888888888888,0.1616161616161616,0.2735042735042735,NA,NA,NA
MWC_109,MWC,LST-LPA,Cluster,0.8666666666666667,0.26,0.4,NA,NA,NA
MWC_132,MWC,LST-LPA,Cluster,0.3658536585365853,0.3061224489795918,0.3333333333333333,NA,NA,NA
MRS_1,MRi-Share,LST-LPA,Voxel,0,0,0,NA,143,128
MRS_7,MRi-Share,LST-LPA,Voxel,0,0,0,NA,115,198
MRS_24,MRi-Share,LST-LPA,Voxel,0.4805194805194805,0.1267123287671233,0.2005420054200542,1.4142135623730951,77,292
MRS_25,MRi-Share,LST-LPA,Voxel,0.2892857142857143,0.36,0.3207920792079208,3.247168581771238,280,225
MRS_28,MRi-Share,LST-LPA,Voxel,0.2777777777777778,0.0222469410456062,0.0411946446961895,20.46948949045872,144,1798
MRS_30,MRi-Share,LST-LPA,Voxel,0.0444444444444444,0.048780487804878,0.0465116279069767,5.677728378666437,45,41
MRS_35,MRi-Share,LST-LPA,Voxel,0,0,0,NA,185,240
MRS_39,MRi-Share,LST-LPA,Voxel,0,0,0,NA,110,245
MRS_41,MRi-Share,LST-LPA,Voxel,0,0,0,NA,18,216
MRS_43,MRi-Share,LST-LPA,Voxel,0.390625,0.0230840258541089,0.04359197907585,8.276417557076698,64,1083
MRS_1,MRi-Share,LST-LPA,Cluster,0,0,0,NA,NA,NA
MRS_7,MRi-Share,LST-LPA,Cluster,0,0,0,NA,NA,NA
MRS_24,MRi-Share,LST-LPA,Cluster,0.1111111111111111,0.0588235294117647,0.0769230769230769,NA,NA,NA
MRS_25,MRi-Share,LST-LPA,Cluster,0.1052631578947368,0.1818181818181818,0.1333333333333333,NA,NA,NA
MRS_28,MRi-Share,LST-LPA,Cluster,0.2666666666666666,0.3333333333333333,0.2962962962962963,NA,NA,NA
MRS_30,MRi-Share,LST-LPA,Cluster,0.0666666666666666,0.3333333333333333,0.1111111111111111,NA,NA,NA
MRS_35,MRi-Share,LST-LPA,Cluster,0,0,0,NA,NA,NA
MRS_39,MRi-Share,LST-LPA,Cluster,0,0,0,NA,NA,NA
MRS_41,MRi-Share,LST-LPA,Cluster,0,0,0,NA,NA,NA
MRS_43,MRi-Share,LST-LPA,Cluster,0.2941176470588235,0.1020408163265306,0.1515151515151515,NA,NA,NA
UKB_1,UKB,LST-LPA,Voxel,0.1363636363636363,0.0410958904109589,0.0631578947368421,4.135059131767823,44,146
UKB_2,UKB,LST-LPA,Voxel,0.1819464033850493,0.0620192307692307,0.0925062746504123,7.54983443527075,709,2080
UKB_3,UKB,LST-LPA,Voxel,0.8780179674340258,0.4329918316488994,0.5799721835883171,3.4641016151377544,7124,14446
UKB_4,UKB,LST-LPA,Voxel,0.0408719346049046,0.15,0.0642398286937901,4.176896403293392,367,100.00100135803224
UKB_5,UKB,LST-LPA,Voxel,0.7653645833333333,0.454812751470133,0.5705688215880411,1.7320508075688772,3840,6462
UKB_6,UKB,LST-LPA,Voxel,0.9242089771891095,0.4471939116115537,0.6027413694850184,3.741657386773941,10872,22469
UKB_7,UKB,LST-LPA,Voxel,0.8195121951219512,0.2326064382139148,0.362361822593691,3,820,2889.028929233551
UKB_8,UKB,LST-LPA,Voxel,0.9617417568587968,0.2619276117356731,0.4117235062766015,4.898979485566356,3973,14588.14607810974
UKB_9,UKB,LST-LPA,Voxel,0.6710526315789473,0.2179487179487179,0.3290322580645161,1.7320508075688772,152,468
